frame,nrD,nrV,nrD_ratio,nrV_ratio,head_angle,dhead_dt,theta_rad,theta_deg,bin_index,binned_theta_deg,binned_theta_rad,polar_x,polar_y
118,0.9181675645292952,1.0035314453134667,0.4777894768257292,0.5222105231742707,34.5656761598,-16.659004523100002,5.83407988226672,334.26815459606325,33,335.0,5.8468529941810035,0.9063077870366496,-0.4226182617407
119,0.9513010204138332,0.982420156198128,0.4919535618266284,0.5080464381733715,17.082026711800005,-17.088436966999996,5.497599547406946,314.9892515194495,31,315.0,5.497787143782138,0.7071067811865474,-0.7071067811865477
120,1.008095516268013,0.959265984174447,0.5124099033356565,0.4875900966643435,0.3888022258000063,-15.770523894999998,4.737037716529842,271.41226855144873,27,275.0,4.799655442984406,0.0871557427476578,-0.9961946980917455
121,0.9977528849199612,0.935753567359168,0.5160328706138299,0.4839671293861701,-14.459021078199992,-14.591911111,3.931565166100719,225.2620908982217,22,225.0,3.9269908169872414,-0.7071067811865477,-0.7071067811865475
122,0.9797267126416868,0.9136484697309836,0.5174498545047732,0.4825501454952267,-28.795019996199994,-13.289846841900005,3.573995780070282,204.7748741955936,20,205.0,3.577924966588375,-0.90630778703665,-0.4226182617406993
123,1.0464505458222888,0.8942665664714081,0.5392081819619289,0.4607918180380712,-41.038714762,-11.721055748900003,3.4197956340828863,195.93985663021465,19,195.0,3.4033920413889422,-0.9659258262890684,-0.2588190451025203
124,1.0541804031834976,0.5504499030824834,0.6569615437692963,0.3430384562307037,-52.237131494,-10.200396737999997,3.3344369874032087,191.0491664305207,19,195.0,3.4033920413889422,-0.9659258262890684,-0.2588190451025203
125,0.9964620395050988,0.4952479051862789,0.667999863546702,0.3320001364532979,-61.43950823799999,-8.208074664999994,3.274402289542444,187.6094316187558,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
126,1.04813926145858,0.4939703292758077,0.6796788423833303,0.3203211576166696,-68.65328082399999,-4.510658911,3.2072003732268355,183.7590454386801,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
127,1.059480613096118,0.4778424317842635,0.6891724004427161,0.3108275995572838,-70.46082605999999,0.832818005,3.129773614947844,179.3228189679143,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
128,1.0354454741673669,0.5743437069345451,0.643218060055912,0.3567819399440881,-66.98764481399999,5.602360214999997,3.058154088276879,175.21932235894334,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
129,1.0497114180141145,0.577811703324114,0.6449748112647339,0.3550251887352662,-59.25610562999999,8.422094323,3.0004078739202367,171.91070799345,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
130,1.0770395519229805,0.6701057200349175,0.6164567819343499,0.38354321806565,-50.14345616799999,8.650714201999996,2.9707549781079177,170.21172221306296,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
