a,time,aligned_time
1.3765280405066134,25.3,4.300000000000001
1.4917587440122555,25.4,4.399999999999999
1.580229199282121,25.5,4.5
1.6109053144489072,25.6,4.600000000000001
1.5739367807102322,25.7,4.699999999999999
1.4871145580014071,25.8,4.800000000000001
1.3871609388439698,25.9,4.899999999999999
1.3105690043770486,26.0,5.0
1.2753330480023854,26.1,5.100000000000001
1.2742043294687222,26.2,5.199999999999999
1.2826459264759924,26.3,5.300000000000001
1.2756739704132816,26.4,5.399999999999999
1.243090156876545,26.5,5.5
1.1946237565311433,26.6,5.600000000000001
1.1531338673706126,26.7,5.699999999999999
1.140819984250849,26.8,5.800000000000001
1.1665736559090454,26.9,5.899999999999999
1.2210132103026752,27.0,6.0
1.280971744160014,27.1,6.100000000000001
1.3202767171035543,27.2,6.199999999999999
1.3211239687201612,27.3,6.300000000000001
1.2809848888832611,27.4,6.399999999999999
1.2127449686634957,27.5,6.5
1.138871904244236,27.6,6.600000000000001
1.0825418138102336,27.7,6.699999999999999
1.0593666771660395,27.8,6.800000000000001
1.072745742279262,27.9,6.899999999999999
1.1141894219580322,28.0,7.0
1.1678209355497993,28.1,7.100000000000001
1.2166289721100172,28.2,7.199999999999999
1.247776018695625,28.3,7.300000000000001
1.255345666718896,28.4,7.399999999999999
1.2404155379806536,28.5,7.5
1.2092773262535972,28.6,7.600000000000001
1.1707706727358262,28.7,7.699999999999999
1.1335044654663866,28.8,7.800000000000001
1.1035958906386194,28.9,7.899999999999999
1.0834423117054706,29.0,8.0
1.071783259333318,29.1,8.100000000000001
1.0649285152742258,29.2,8.2
1.058697898658136,29.3,8.3
1.050419802548913,29.4,8.399999999999999
1.0402630484948088,29.5,8.5
1.0313043174355512,29.6,8.600000000000001
1.0281652851055414,29.7,8.7
1.0347129893879687,29.8,8.8
1.0518655759593276,29.9,8.899999999999999
1.076605003566698,30.0,9.0
1.1027724018791472,30.1,9.100000000000001
1.123371867330469,30.2,9.2
1.1333786543306792,30.3,9.3
1.131803203838685,30.4,9.399999999999999
1.1220919977754729,30.5,9.5
1.110654928301733,30.6,9.600000000000001
1.1040732701381957,30.7,9.7
1.1061116669493725,30.8,9.8
1.115897084062872,30.9,9.899999999999999
1.1283627428921146,31.0,10.0
1.1370927345882682,31.1,10.100000000000001
1.1382375139909793,31.2,10.2
1.1331035255605135,31.3,10.3
1.127483743004226,31.4,10.399999999999999
1.1279506405329291,31.5,10.5
1.1377125003464048,31.6,10.600000000000001
1.1551445296184837,31.7,10.7
1.1760376368672305,31.8,10.8
1.197580137291557,31.9,10.899999999999999
1.220692304786739,32.0,11.0
1.248743704681155,32.1,11.100000000000001
1.283634833618147,32.2,11.200000000000003
1.322264477773721,32.3,11.299999999999997
1.356075702466928,32.4,11.399999999999999
1.3742196612249244,32.5,11.5
1.3686197017059432,32.6,11.600000000000001
1.3382829406382788,32.7,11.700000000000003
1.2908366911554046,32.8,11.799999999999997
1.2407053070154386,32.9,11.899999999999999
1.2046620480652768,33.0,12.0
1.1962312031729525,33.1,12.100000000000001
1.2206769319642508,33.2,12.200000000000003
1.2723418826332926,33.3,12.299999999999997
1.3357568356914038,33.4,12.399999999999999
1.390825652885202,33.5,12.5
1.4205158341547055,33.6,12.600000000000001
1.4177373296111575,33.7,12.700000000000003
1.387802076165178,33.8,12.799999999999997
1.3447025297819808,33.9,12.899999999999999
1.3027005116113943,34.0,13.0
1.2675914816905258,34.1,13.100000000000001
1.232711546523933,34.2,13.200000000000003
1.182531794576141,34.3,13.299999999999997
1.1024004149479505,34.4,13.399999999999999
0.9889494397812896,34.5,13.5
0.8545649350318965,34.6,13.600000000000001
0.7224326435388702,34.7,13.700000000000003
0.6145442411836084,34.8,13.799999999999997
0.5399177877144685,34.9,13.899999999999999
0.4906064595281213,35.0,14.0
0.4482763640722481,35.1,14.100000000000001
0.3973160816402171,35.2,14.200000000000003
0.336200830524418,35.3,14.299999999999997
0.2799862412843464,35.4,14.399999999999999
0.2524575642081428,35.5,14.5
0.2727893933547105,35.6,14.600000000000001
0.3445460613834452,35.7,14.700000000000003
0.4528762508314089,35.8,14.799999999999997
0.5705231467110279,35.9,14.899999999999999
0.6684113195064132,36.0,15.0
0.7250624089975499,36.1,15.100000000000001
0.7312661335351012,36.2,15.200000000000003
0.6900147172520774,36.3,15.299999999999997
0.6138587431815057,36.4,15.399999999999999
0.5214968835558009,36.5,15.5
0.4338845221081225,36.6,15.600000000000001
0.3695347632520491,36.7,15.700000000000003
0.3396891822693348,36.8,15.799999999999997
0.3453643708941302,36.9,15.899999999999999
0.3781473708484865,37.0,16.0
0.4246670340903826,37.1,16.1
0.4723933893876926,37.2,16.200000000000003
0.5136804357029378,37.3,16.299999999999997
0.5462956494864166,37.4,16.4
0.5709564180757944,37.5,16.5
0.5880106165954491,37.6,16.6
0.5955255312785876,37.7,16.700000000000003
0.5899292786532888,37.8,16.799999999999997
0.568764277823396,37.9,16.9
0.5338619388798023,38.0,17.0
0.4929230795555777,38.1,17.1
0.4582935575604171,38.2,17.200000000000003
0.4432604010358394,38.3,17.299999999999997
0.4575427597975269,38.4,17.4
0.5039972530754766,38.5,17.5
0.5778124397080613,38.6,17.6
0.6682423061153542,38.7,17.700000000000003
0.7619539719868138,38.8,17.799999999999997
0.8466853056397217,38.9,17.9
0.9140691189149592,39.0,18.0
0.9609941073989428,39.1,18.1
0.9894938663196912,39.2,18.200000000000003
1.0055828106985294,39.3,18.299999999999997
1.017535782328227,39.4,18.4
1.0339958157675355,39.5,18.5
1.062275306261363,39.6,18.6
1.1072568944931365,39.7,18.700000000000003
1.1709898203002078,39.8,18.799999999999997
1.2522855106055295,39.9,18.9
1.3451166792868934,40.0,19.0
1.4355898162251637,40.1,19.1
1.4997347725627113,40.2,19.200000000000003
1.5063159318856925,40.3,19.299999999999997
1.4274819718783585,40.4,19.4
1.2546332824708586,40.5,19.5
1.0107381283791748,40.6,19.6
0.7490790100324378,40.7,19.700000000000003
0.5350468183657133,40.8,19.799999999999997
0.4187398018243661,40.9,19.9
0.4135824876278554,41.0,20.0
0.4934992860908285,41.1,20.1
0.6095910907233554,41.2,20.200000000000003
0.7152067890404801,41.3,20.299999999999997
0.7845084984461805,41.4,20.4
0.8160241238710935,41.5,20.5
0.8233800146591761,41.6,20.6
0.8222947027288968,41.7,20.700000000000003
0.822237343659858,41.8,20.799999999999997
0.8254154208520272,41.9,20.9
0.8303407936546493,42.0,21.0
0.8356365477825003,42.1,21.1
0.8416090952187719,42.2,21.200000000000003
0.8497515731343014,42.3,21.299999999999997
0.8616029326024567,42.4,21.4
0.8780166188521157,42.5,21.5
0.8989674371134045,42.6,21.6
0.9235244818572584,42.7,21.700000000000003
0.9497090339945876,42.8,21.799999999999997
0.974286131797285,42.9,21.9
0.9927946056802246,43.0,22.0
